class_name, target_acc, source_acc, target_ex, source_ex
peanut,0.4596774193548387,0.557919621749409,124,423
pear,0.8248587570621468,0.7442922374429224,177,438
peas,0.5866666666666667,0.8397058823529412,75,680
pencil,0.65,0.7874186550976139,20,461
penguin,0.8571428571428571,0.9085714285714286,203,700
pig,0.669683257918552,0.8994800693240901,221,577
pillow,0.8623853211009175,0.8536585365853658,109,656
pineapple,0.912,0.8469539375928677,125,673
potato,0.5454545454545454,0.8470394736842105,77,608
power_outlet,0.42696629213483145,0.7919354838709678,89,620
purse,0.6666666666666666,0.8400735294117647,222,544
rabbit,0.8863636363636364,0.8345323741007195,88,695
raccoon,0.5672514619883041,0.9600591715976331,342,676
rhinoceros,0.9548022598870056,0.9649122807017544,177,684
rifle,0.9655172413793104,0.948076923076923,116,520
saxophone,0.756578947368421,0.9854771784232366,304,482
screwdriver,0.4359673024523161,0.9064748201438849,367,417
sea_turtle,0.7943548387096774,0.9597423510466989,248,621
see_saw,0.2807017543859649,0.967032967032967,513,273
sheep,0.7526652452025586,0.9459798994974874,469,796
shoe,0.8262910798122066,0.9420783645655877,639,587
skateboard,0.5181598062953995,0.9156193895870736,413,557
snake,0.6314655172413793,0.9201596806387226,464,501
speedboat,0.7983367983367984,0.9612903225806452,481,620
spider,0.323943661971831,0.9089376053962901,639,593
squirrel,0.5691906005221932,0.9191919191919192,383,693
strawberry,0.7135416666666666,0.933920704845815,192,454
streetlight,0.5305343511450382,0.8466522678185745,262,463
string_bean,0.0967741935483871,0.8024439918533605,62,491
submarine,0.4228855721393035,0.8896210873146623,201,607
swan,0.717391304347826,0.9202453987730062,230,326
table,0.6802721088435374,0.9307282415630551,294,563
teapot,0.8691588785046729,0.9841521394611727,321,631
teddy-bear,0.8405172413793104,0.9621212121212122,232,528
television,0.7520661157024794,0.92,121,400
The_Eiffel_Tower,0.9555555555555556,0.9385171790235082,270,553
The_Great_Wall_of_China,0.7112676056338029,0.9679245283018868,142,530
tiger,0.85,0.9670510708401977,380,607
toe,0.08333333333333333,0.33146067415730335,72,356
train,0.6923076923076923,0.9162995594713657,234,681
truck,0.9227799227799228,0.9524517087667161,259,673
umbrella,0.9003436426116839,0.9337016574585635,291,362
vase,0.7513812154696132,0.8512658227848101,181,632
watermelon,0.7049180327868853,0.8643815201192251,122,671
whale,0.5263157894736842,0.849478390461997,266,671
zebra,0.875,0.972181551976574,272,683
